"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2000",538759.74,
"AUS","GDP","TOT","MLN_USD","A","2001",569498.285,
"AUS","GDP","TOT","MLN_USD","A","2002",600598.648,
"AUS","GDP","TOT","MLN_USD","A","2003",638782.783,
"AUS","GDP","TOT","MLN_USD","A","2004",677715.264,
"AUS","GDP","TOT","MLN_USD","A","2005",719487.043,
"AUS","GDP","TOT","MLN_USD","A","2006",775886.237,
"AUS","GDP","TOT","MLN_USD","A","2007",826594.305,
"AUS","GDP","TOT","MLN_USD","A","2008",852737.657,
"AUS","GDP","TOT","MLN_USD","A","2009",903956.56,
"AUS","GDP","TOT","MLN_USD","A","2010",943323,
"AUS","GDP","TOT","MLN_USD","A","2011",992802.546,
"AUS","GDP","TOT","MLN_USD","A","2012",997651.363,
"AUS","GDP","TOT","MLN_USD","A","2013",1104672.434,
"AUS","GDP","TOT","MLN_USD","A","2014",1117601.897,
"AUS","GDP","TOT","MLN_USD","A","2015",1124752.51,
"AUS","GDP","TOT","MLN_USD","A","2016",1212854.276,
"AUS","GDP","TOT","MLN_USD","A","2017",1247085.553,
"AUS","GDP","TOT","MLN_USD","A","2018",1323863.624,
"AUS","GDP","TOT","MLN_USD","A","2019",1337588.806,
"AUS","GDP","TOT","MLN_USD","A","2020",1430866.404,
"AUS","GDP","TOT","MLN_USD","A","2021",1595112.956,
"AUT","GDP","TOT","MLN_USD","A","2000",235393.211,
"AUT","GDP","TOT","MLN_USD","A","2001",238924.377,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.784,
"AUT","GDP","TOT","MLN_USD","A","2003",261070.253,
"AUT","GDP","TOT","MLN_USD","A","2004",276000.045,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.722,
"AUT","GDP","TOT","MLN_USD","A","2006",311394.8,
"AUT","GDP","TOT","MLN_USD","A","2007",327137.69,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.976,
"AUT","GDP","TOT","MLN_USD","A","2009",341396.516,
"AUT","GDP","TOT","MLN_USD","A","2010",351323.808,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.176,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.245,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.519,
"AUT","GDP","TOT","MLN_USD","A","2015",430975.924,
"AUT","GDP","TOT","MLN_USD","A","2016",460282.647,
"AUT","GDP","TOT","MLN_USD","A","2017",476590.588,
"AUT","GDP","TOT","MLN_USD","A","2018",503361.417,
"AUT","GDP","TOT","MLN_USD","A","2019",530169.037,
"AUT","GDP","TOT","MLN_USD","A","2020",510568.008,
"AUT","GDP","TOT","MLN_USD","A","2021",537014.574,
"AUT","GDP","TOT","MLN_USD","A","2022",622665.496,
"BEL","GDP","TOT","MLN_USD","A","2000",284881.505,
"BEL","GDP","TOT","MLN_USD","A","2001",296187.433,
"BEL","GDP","TOT","MLN_USD","A","2002",312900.475,
"BEL","GDP","TOT","MLN_USD","A","2003",320979.727,
"BEL","GDP","TOT","MLN_USD","A","2004",334135.685,
"BEL","GDP","TOT","MLN_USD","A","2005",347658.439,
"BEL","GDP","TOT","MLN_USD","A","2006",371888.473,
"BEL","GDP","TOT","MLN_USD","A","2007",390981.666,
"BEL","GDP","TOT","MLN_USD","A","2008",405729.43,
"BEL","GDP","TOT","MLN_USD","A","2009",407566.641,
"BEL","GDP","TOT","MLN_USD","A","2010",434058.868,
"BEL","GDP","TOT","MLN_USD","A","2011",451932.625,
"BEL","GDP","TOT","MLN_USD","A","2012",469720.336,
"BEL","GDP","TOT","MLN_USD","A","2013",487343.796,
"BEL","GDP","TOT","MLN_USD","A","2014",503619.623,
"BEL","GDP","TOT","MLN_USD","A","2015",520877.807,
"BEL","GDP","TOT","MLN_USD","A","2016",550677.566,
"BEL","GDP","TOT","MLN_USD","A","2017",573788.528,
"BEL","GDP","TOT","MLN_USD","A","2018",600269.926,
"BEL","GDP","TOT","MLN_USD","A","2019",641098.699,
"BEL","GDP","TOT","MLN_USD","A","2020",629659.269,"P"
"BEL","GDP","TOT","MLN_USD","A","2021",681853.013,"P"
"BEL","GDP","TOT","MLN_USD","A","2022",773801.715,"P"
"CAN","GDP","TOT","MLN_USD","A","2000",901003.29,
"CAN","GDP","TOT","MLN_USD","A","2001",937793.044,
"CAN","GDP","TOT","MLN_USD","A","2002",971009.088,
"CAN","GDP","TOT","MLN_USD","A","2003",1023686.549,
"CAN","GDP","TOT","MLN_USD","A","2004",1083615.23,
"CAN","GDP","TOT","MLN_USD","A","2005",1171340.162,
"CAN","GDP","TOT","MLN_USD","A","2006",1241618.911,
"CAN","GDP","TOT","MLN_USD","A","2007",1301593.852,
"CAN","GDP","TOT","MLN_USD","A","2008",1342396.613,
"CAN","GDP","TOT","MLN_USD","A","2009",1307000.658,
"CAN","GDP","TOT","MLN_USD","A","2010",1363578.975,
"CAN","GDP","TOT","MLN_USD","A","2011",1430807.125,
"CAN","GDP","TOT","MLN_USD","A","2012",1468094.965,
"CAN","GDP","TOT","MLN_USD","A","2013",1554122.745,
"CAN","GDP","TOT","MLN_USD","A","2014",1621396.709,
"CAN","GDP","TOT","MLN_USD","A","2015",1594850.842,
"CAN","GDP","TOT","MLN_USD","A","2016",1678093.396,
"CAN","GDP","TOT","MLN_USD","A","2017",1765763.154,
"CAN","GDP","TOT","MLN_USD","A","2018",1852987.755,
"CAN","GDP","TOT","MLN_USD","A","2019",1873760.081,
"CAN","GDP","TOT","MLN_USD","A","2020",1794940.001,
"CAN","GDP","TOT","MLN_USD","A","2021",2026899.115,
"CAN","GDP","TOT","MLN_USD","A","2022",2221280.61,
"CZE","GDP","TOT","MLN_USD","A","2000",166527.993,
"CZE","GDP","TOT","MLN_USD","A","2001",180061.911,
"CZE","GDP","TOT","MLN_USD","A","2002",186119.946,
"CZE","GDP","TOT","MLN_USD","A","2003",199181.111,
"CZE","GDP","TOT","MLN_USD","A","2004",213447.732,
"CZE","GDP","TOT","MLN_USD","A","2005",225620.781,
"CZE","GDP","TOT","MLN_USD","A","2006",244936.694,
"CZE","GDP","TOT","MLN_USD","A","2007",270711.922,
"CZE","GDP","TOT","MLN_USD","A","2008",290503.947,
"CZE","GDP","TOT","MLN_USD","A","2009",289942.416,
"CZE","GDP","TOT","MLN_USD","A","2010",292032.224,
"CZE","GDP","TOT","MLN_USD","A","2011",304400.914,
"CZE","GDP","TOT","MLN_USD","A","2012",307490.199,
"CZE","GDP","TOT","MLN_USD","A","2013",324029.978,
"CZE","GDP","TOT","MLN_USD","A","2014",342099.837,
"CZE","GDP","TOT","MLN_USD","A","2015",357503.881,
"CZE","GDP","TOT","MLN_USD","A","2016",381420.335,
"CZE","GDP","TOT","MLN_USD","A","2017",411327.86,
"CZE","GDP","TOT","MLN_USD","A","2018",437355.916,
"CZE","GDP","TOT","MLN_USD","A","2019",471832.671,
"CZE","GDP","TOT","MLN_USD","A","2020",458157.819,
"CZE","GDP","TOT","MLN_USD","A","2021",479378.76,
"CZE","GDP","TOT","MLN_USD","A","2022",534055.096,
"DNK","GDP","TOT","MLN_USD","A","2000",153052.899,
"DNK","GDP","TOT","MLN_USD","A","2001",157778.439,
"DNK","GDP","TOT","MLN_USD","A","2002",164720.391,
"DNK","GDP","TOT","MLN_USD","A","2003",166147.966,
"DNK","GDP","TOT","MLN_USD","A","2004",178018.944,
"DNK","GDP","TOT","MLN_USD","A","2005",185074.466,
"DNK","GDP","TOT","MLN_USD","A","2006",202984.122,
"DNK","GDP","TOT","MLN_USD","A","2007",213056.909,
"DNK","GDP","TOT","MLN_USD","A","2008",226767.494,
"DNK","GDP","TOT","MLN_USD","A","2009",222756.489,
"DNK","GDP","TOT","MLN_USD","A","2010",238555.117,
